                 Task 2.1 , 2.2 :

     <K> =     1.4259259

    K          N(k)          P(i >= k) 

          0                0             1.0000000
          1               32             1.0000000
          2               21             0.4074074
          3                1             0.0185185
          4                0             0.0000000
          5                0             0.0000000
          6                0             0.0000000
          7                0             0.0000000
          8                0             0.0000000

