     Xb                         Yb 
    -0.0437000                 -0.6425500
    -0.7000500                 -0.8050500
    -0.7335500                 -0.0867000
    -0.0587000                  1.0435000
    -0.7555000                 -0.7504000
    -0.3041500                 -0.4463500
    -1.8125000                  0.3693000
    -0.2076500                 -0.3076500
     0.5143500                  0.5963500
    -0.2891500                 -0.4686000
     0.2968000                 -0.2076500
     0.4138500                 -0.7315500
    -0.7450500                 -0.6875500
     0.2028000                 -0.3951000
    -1.1354000                  0.1837500
    -0.6590500                  0.2625500
    -0.6051000                  0.1766500
    -0.2836500                  0.8536000
     0.2278000                 -0.9390500
     0.7140500                  0.3431000
     0.3928500                  0.8439000
     0.2078000                 -0.7710500
    -0.9754500                 -0.6366500
    -0.1687500                  1.6740000
    -0.5781000                  0.2231500
     0.5353500                  0.5428000
    -0.3386500                 -0.2449000
    -0.6525500                 -0.2403000
    -0.7260500                 -0.2676500
     0.1802500                 -0.4086000
    -0.0512000                 -0.1492000
    -0.8400500                  0.2483000
    -0.4801000                  0.7789000
     1.3904500                  0.6282500
    -0.7765500                 -1.2133500
     0.6138500                 -0.6780500
     0.5428500                 -0.0287000
    -0.1847000                  0.7029000
    -0.6091000                  0.2628000
     0.7304000                  0.3400500
     1.4454500                  0.1627500
     1.4504500                  1.1782000
     0.7669000                 -1.5350500
     1.1179500                 -0.3276500
     0.1752500                 -1.0703500
     0.8554000                  1.0744500
    -1.5375000                 -0.0387000
    -0.6410500                 -0.2226500
    -0.4926000                 -0.5126000
     0.4538500                  0.6660500
    -0.0651000                  0.4088500
    -0.6086000                 -0.1437000
     1.6454500                 -0.4996000
    -0.2401500                  0.2598000
